name,formula,neutralMass,SMILES,InChI,InChIKey,PubChem,ChEBI,CAS,dbCheck,adduct,mz,rt,logP,IUPACName,mixIUTA,numberIUTA,hasFragments,fragments_mz,fragments_formula,fragments_pre,fragments_int,comment
Carbamazepine,C15H12N2O,236.094963,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,"InChI=1S/C15H12N2O/c16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h1-10H,(H2,16,18)",FFGPTBGBLSHEPO-UHFFFAOYSA-N,2554,CHEBI:3387,298-46-4,TRUE,NA,NA,1079,0.79,NA,1,14,FALSE,NA,NA,NA,NA,NA
Terbutryn,C10H19N5S,241.1361168,CCNC1=NC(=NC(=N1)SC)NC(C)(C)C,"InChI=1S/C10H19N5S/c1-6-11-7-12-8(15-10(2,3)4)14-9(13-7)16-5/h6H2,1-5H3,(H2,11,12,13,14,15)",IROINLKCQGIITA-UHFFFAOYSA-N,13450,CHEBI:44156,886-50-0,TRUE,NA,NA,1127,3.74,NA,1,176,FALSE,NA,NA,NA,NA,NA
Clarithromycine,C38H69NO13,747.4768913,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,"InChI=1S/C38H69NO13/c1-15-26-38(10,45)31(42)21(4)28(40)19(2)17-37(9,47-14)33(52-35-29(41)25(39(11)12)16-20(3)48-35)22(5)30(23(6)34(44)50-26)51-27-18-36(8,46-13)32(43)24(7)49-27/h19-27,29-33,35,41-43,45H,15-18H2,1-14H3/t19-,20-,21+,22+,23-,24+,25+,26-,27+,29-,30+,31-,32+,33-,35+,36-,37-,38-/m1/s1",AGOYDEPGAOXOCK-KCBOHYOISA-N,84029,CHEBI:3732,81103-11-9,TRUE,NA,NA,1035,1.66,NA,1,27,FALSE,NA,NA,NA,NA,NA
Losartan,C22H23ClN6O,422.1621871,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,"InChI=1S/C22H23ClN6O/c1-2-3-8-20-24-21(23)19(14-30)29(20)13-15-9-11-16(12-10-15)17-6-4-5-7-18(17)22-25-27-28-26-22/h4-7,9-12,30H,2-3,8,13-14H2,1H3,(H,25,26,27,28)",PSIFNNKUMBGKDQ-UHFFFAOYSA-N,3961,CHEBI:6541,114798-26-4,TRUE,NA,NA,1095,4.64,NA,1,225,FALSE,NA,NA,NA,NA,NA
Candesartan,C24H20N6O3,440.1596885,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,"InChI=1S/C24H20N6O3/c1-2-33-24-25-20-9-5-8-19(23(31)32)21(20)30(24)14-15-10-12-16(13-11-15)17-6-3-4-7-18(17)22-26-28-29-27-22/h3-13H,2,14H2,1H3,(H,31,32)(H,26,27,28,29)",HTQMVQVXFRQIKW-UHFFFAOYSA-N,2541,CHEBI:3347,139481-59-7,TRUE,NA,NA,1097,4.79,NA,1,511,FALSE,NA,NA,NA,NA,NA
Isoproturon,C12H18N2O,206.1419132,CC(C)C1=CC=C(C=C1)NC(=O)N(C)C,"InChI=1S/C12H18N2O/c1-9(2)10-5-7-11(8-6-10)13-12(15)14(3)4/h5-9H,1-4H3,(H,13,15)",PUIYMUZLKQOUOZ-UHFFFAOYSA-N,36679,CHEBI:6049,34123-59-6,TRUE,NA,NA,1152,2.87,NA,1,272,FALSE,NA,NA,NA,NA,NA
Diuron,C9H10Cl2N2O,232.0170183,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,"InChI=1S/C9H10Cl2N2O/c1-13(2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)",XMTQQYYKAHVGBJ-UHFFFAOYSA-N,3120,CHEBI:116509,330-54-1,TRUE,NA,NA,1161,2.68,NA,1,273,FALSE,NA,NA,NA,NA,NA
Ciprofloxacin 13C3,[13C]3C14H18FN3O3,334.1433,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,IS,NA,FALSE,NA,NA,NA,NA,NA
Cyclophosphamide d6,C7H9D6Cl2N2O2P,266.0625,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,IS,NA,FALSE,NA,NA,NA,NA,NA
Ibuprofen d3,C13H15D3O2,209.1495,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,IS,NA,FALSE,NA,NA,NA,NA,NA
Diclophenac d4,C14H7D4Cl2NO2,299.0418,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,IS,NA,FALSE,NA,NA,NA,NA,NA
Diatrizoate d6,C11H3D6I3N2O4,619.8073,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,IS,NA,FALSE,NA,NA,NA,NA,NA
Amoxicillin d4,C16H15D4N3O5S,369.1296,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,IS,NA,FALSE,NA,NA,NA,NA,NA
