"","analysis","feature","index","rt","mz","intensity","area","rtmin","rtmax","mzmin","mzmax","adduct","mass","filled","filtered","filter","sn"
"1","01_ww_is_pos_blank-r001","mz254.138_rt901_f1",1,900.697,254.13751555,5377.3818359375,31954.9810432127,900.697,908.728,254.13715268,254.13790201,"[M+H]+",253.130239554742,FALSE,FALSE,NA,14
"2","01_ww_is_pos_blank-r001","mz259.152_rt901_f2",2,900.697,259.15185568,7487.6689453125,60740.6725521055,900.697,913.93,259.15168331,259.1524039,"[M+H]+",258.144579681496,FALSE,FALSE,NA,41
"3","01_ww_is_pos_blank-r001","mz230.212_rt902_f3",3,901.984,230.21199923,10718.4296875,57567.8231211544,900.697,908.728,230.21155963,230.21257039,"[M+H]+",229.204723230578,FALSE,FALSE,NA,25
"4","01_ww_is_pos_blank-r001","mz251.137_rt902_f4",4,901.984,251.13708426,11746.0009765625,58381.3848907467,900.697,908.728,251.13689389,251.13748916,"[M+H]+",250.129808258701,FALSE,FALSE,NA,29
"5","01_ww_is_pos_blank-r001","mz298.202_rt902_f5",5,901.984,298.20180584,13899.0625,54951.3360113527,900.697,907.552,298.20146394,298.20223626,"[M+H]+",297.194529838604,FALSE,FALSE,NA,54
"6","01_ww_is_pos_blank-r001","mz308.244_rt902_f6",6,901.984,308.24380506,9953.0859375,48350.4473250554,900.697,909.911,308.24286588,308.24442483,"[M+H]+",307.236529062559,FALSE,FALSE,NA,9952
"7","01_ww_is_pos_blank-r001","mz351.201_rt902_f7",7,901.984,351.20128646,26584.3671875,144486.136666991,900.697,908.728,351.20064647,351.20151411,"[M+H]+",350.194010463792,FALSE,FALSE,NA,212
"8","01_ww_is_pos_blank-r001","mz351.703_rt902_f8",8,901.984,351.70261186,8035.3359375,46628.5992885434,900.697,908.728,351.70203559,351.70336046,"[M+H]+",350.695335857255,FALSE,FALSE,NA,63
"9","01_ww_is_pos_blank-r001","mz330.228_rt903_f9",9,903.256,330.22800046,5600.81640625,32926.0381211546,900.697,908.728,330.22738433,330.22863359,"[M+H]+",329.220724460787,FALSE,FALSE,NA,20
"10","01_ww_is_pos_blank-r001","mz340.21_rt903_f10",10,903.256,340.20951341,13634.0673828125,63357.665811401,900.697,908.728,340.20892661,340.21066939,"[M+H]+",339.202237408374,FALSE,FALSE,NA,24
"11","01_ww_is_pos_blank-r001","mz348.724_rt903_f11",11,903.256,348.72350927,6506.2470703125,36690.2380139768,900.697,908.728,348.72287887,348.72498561,"[M+H]+",347.716233270524,FALSE,FALSE,NA,55
"12","01_ww_is_pos_blank-r001","mz359.713_rt903_f12",12,903.256,359.71300983,4413.87548828125,21828.5359297672,900.697,909.911,359.71264597,359.71403871,"[M+H]+",358.705733825985,FALSE,FALSE,NA,189
"13","01_ww_is_pos_blank-r001","mz421.206_rt903_f13",13,903.256,421.2055788,11341.189453125,52442.5685163576,900.697,907.552,421.2050065,421.20637798,"[M+H]+",420.198302800699,FALSE,FALSE,NA,11340
"14","01_ww_is_pos_blank-r001","mz370.737_rt906_f14",14,906.443,370.73708709,15232.2392578125,72858.3381487465,900.697,912.345,370.73596743,370.73749072,"[M+H]+",369.729811085724,FALSE,FALSE,NA,100
"15","01_ww_is_pos_blank-r001","mz373.214_rt906_f15",15,906.443,373.2144208,32205.724609375,164812.587333051,900.697,912.345,373.2142285,373.21473047,"[M+H]+",372.207144804119,FALSE,FALSE,NA,193
"16","01_ww_is_pos_blank-r001","mz373.716_rt906_f16",16,906.443,373.71623364,12712.447265625,61897.431002498,900.697,912.345,373.71561929,373.71668878,"[M+H]+",372.708957639504,FALSE,FALSE,NA,67
"17","01_ww_is_pos_blank-r001","mz381.727_rt906_f17",17,906.443,381.7272626,10964.03125,54021.957572824,900.697,912.345,381.72640097,381.72769232,"[M+H]+",380.719986604835,FALSE,FALSE,NA,102
"18","01_ww_is_pos_blank-r001","mz237.121_rt908_f18",18,907.552,237.12112718,8248.115234375,58826.7986492364,900.697,914.977,237.12098244,237.12133487,"[M+H]+",236.113851178988,FALSE,FALSE,NA,8247
"19","01_ww_is_pos_blank-r001","mz266.137_rt908_f19",19,907.552,266.1368071,14515.5322265625,88536.5433444661,900.697,912.345,266.1363433,266.13714255,"[M+H]+",265.129531096362,FALSE,FALSE,NA,51
"20","01_ww_is_pos_blank-r001","mz362.724_rt908_f20",20,907.552,362.72447696,6226.56005859375,28556.1682333183,903.256,912.345,362.7238223,362.72593636,"[M+H]+",361.717200960696,FALSE,FALSE,NA,56
"21","01_ww_is_pos_blank-r001","mz379.248_rt908_f21",21,907.552,379.24842724,3004.47924804688,17405.1395803726,901.984,912.345,379.24614408,379.25012924,"[M+H]+",378.241151238344,FALSE,FALSE,NA,3003
"22","01_ww_is_pos_blank-r001","mz210.111_rt910_f22",22,909.911,210.11092997,1018634.125,6010150.3729655,903.256,914.977,210.11071045,210.11111639,"[M+H]+",209.103653973261,FALSE,FALSE,NA,1806
"23","01_ww_is_pos_blank-r001","mz211.114_rt910_f23",23,909.911,211.11385252,86633.03125,513286.983949707,903.256,914.977,211.11353672,211.11406719,"[M+H]+",210.106576522803,FALSE,FALSE,NA,86632
"24","01_ww_is_pos_blank-r001","mz212.116_rt910_f24",24,909.911,212.11604084,7978.876953125,50020.7102927311,905.155,916.446,212.1156344,212.11655638,"[M+H]+",211.10876484428,FALSE,FALSE,NA,99
"25","01_ww_is_pos_blank-r001","mz226.077_rt910_f25",25,909.911,226.07732867,10574.26171875,65994.9216166911,905.155,916.446,226.07650046,226.07765617,"[M+H]+",225.070052674044,FALSE,FALSE,NA,125
"26","01_ww_is_pos_blank-r001","mz232.092_rt910_f26",26,909.911,232.09232668,21259.55078125,142232.987069853,903.256,916.446,232.09193333,232.09265561,"[M+H]+",231.085050680965,FALSE,FALSE,NA,91
"27","01_ww_is_pos_blank-r001","mz242.047_rt910_f27",27,909.911,242.04706687,3287.96215820312,18194.887294693,905.155,916.446,242.04644311,242.04809654,"[M+H]+",241.039790873328,FALSE,FALSE,NA,90
"28","01_ww_is_pos_blank-r001","mz258.092_rt910_f28",28,909.911,258.09188128,4423.255859375,20118.2441405182,905.155,914.977,258.09053245,258.09336567,"[M+H]+",257.084605282568,FALSE,FALSE,NA,53
